2025-07-28 23:34:45 [INFO] - Logger inicializado
2025-07-28 23:34:45 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:34:45 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:34:46 [INFO] - Tema claro aplicado
2025-07-28 23:57:55 [INFO] - Logger inicializado
2025-07-28 23:57:55 [INFO] - Se encontraron 14 interfaces de red
2025-07-28 23:57:55 [INFO] - Compatibilidad WinPcap OK - La captura de paquetes ICMP debería funcionar
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:57:57 [INFO] - Tema claro aplicado
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 9 - WAN Miniport (Network Monitor)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 8 - WAN Miniport (IPv6)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 7 - WAN Miniport (IP)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de red Bluetooth - Bluetooth Device (Personal Area Network)
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Wi-Fi - Realtek RTL8723DE 802.11b/g/n PCIe Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet8 - VMware Virtual Ethernet Adapter for VMnet8
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: VMware Network Adapter VMnet1 - VMware Virtual Ethernet Adapter for VMnet1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Conexión de área local* 1 - Microsoft Wi-Fi Direct Virtual Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 7 - VirtualBox Host-Only Ethernet Adapter #4
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 6 - VirtualBox Host-Only Ethernet Adapter #3
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 3 - VirtualBox Host-Only Ethernet Adapter #2
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet 2 - VirtualBox Host-Only Ethernet Adapter
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Loopback Pseudo-Interface 1 - Software Loopback Interface 1
2025-07-28 23:58:33 [INFO] - Interfaz detectada con Scapy: Ethernet - Realtek PCIe GbE Family Controller
2025-07-28 23:58:33 [INFO] - Total de interfaces detectadas: 14
2025-07-28 23:58:43 [INFO] - Creando capturer para interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro actual: ''
2025-07-28 23:58:43 [INFO] - Iniciando captura en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Captura iniciada en interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Filtro aplicado: 
2025-07-28 23:58:43 [INFO] - Usando interfaz: Wi-Fi
2025-07-28 23:58:43 [INFO] - Usando modo de captura WinPcap/Npcap
2025-07-28 23:58:43 [INFO] - Captura iniciada correctamente
2025-07-28 23:58:43 [INFO] - Paquete #1 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #2 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #3 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:43 [INFO] - Paquete #4 capturado: Ethernet, ARP - 42 bytes
2025-07-28 23:58:43 [INFO] - Paquete #5 capturado: Ethernet, ARP - 60 bytes
2025-07-28 23:58:45 [INFO] - Paquete #81 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #82 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #83 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #84 capturado: Ethernet, IP, UDP - 79 bytes
2025-07-28 23:58:45 [INFO] - Paquete #85 capturado: Ethernet, IP, UDP - 77 bytes
2025-07-28 23:58:45 [INFO] - Paquete #86 capturado: Ethernet, IP, UDP - 75 bytes
2025-07-28 23:58:45 [INFO] - Paquete #87 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #88 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #89 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #90 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #91 capturado: Ethernet, IP, UDP - 74 bytes
2025-07-28 23:58:45 [INFO] - Paquete #92 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #93 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #94 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #95 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #96 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:45 [INFO] - Paquete #97 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #98 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #99 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #100 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #101 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #102 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:45 [INFO] - Paquete #103 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #104 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #105 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #106 capturado: Ethernet, IP, UDP - 77 bytes
2025-07-28 23:58:45 [INFO] - Paquete #107 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #108 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #109 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:45 [INFO] - Paquete #110 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #111 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #112 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #113 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #114 capturado: Ethernet, IP, UDP - 82 bytes
2025-07-28 23:58:45 [INFO] - Paquete #115 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #116 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #117 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #118 capturado: Ethernet, IP, UDP - 80 bytes
2025-07-28 23:58:45 [INFO] - Paquete #119 capturado: Ethernet, IP, UDP - 79 bytes
2025-07-28 23:58:45 [INFO] - Paquete #120 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #121 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #122 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #123 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #124 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #125 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #126 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #127 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #128 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #129 capturado: Ethernet, IP, UDP - 1292 bytes
2025-07-28 23:58:45 [INFO] - Paquete #130 capturado: Ethernet, IP, UDP - 77 bytes
2025-07-28 23:58:45 [INFO] - Paquete #131 capturado: Ethernet, IP, UDP - 75 bytes
2025-07-28 23:58:45 [INFO] - Paquete #132 capturado: Ethernet, IP, UDP - 76 bytes
2025-07-28 23:58:45 [INFO] - Paquete #133 capturado: Ethernet, IP, UDP - 78 bytes
2025-07-28 23:58:45 [INFO] - Paquete #134 capturado: Ethernet, IP, UDP - 76 bytes
